filename,valence,arousal,mood_tags
Night in Venice.mp3,5.980000496,4.579404354,ballad|calm|children|christmas|cool|documentary|funny|love|meditative|melodic|movie|nature|relaxing|romantic|sad|soft
Palm and Soul.mp3,6.523319721,4.792037487,advertising|background|calm|children|cool|corporate|deep|documentary|funny|groovy|positive|romantic|sexy|soft|summer|uplifting
Patience Party.mp3,3.643041134,2.475707531,ballad|calm|emotional|love|meditative|melancholic|nature|relaxing|sad|soft
Patron Saint of Heists.mp3,5.709254265,4.610303879,calm|cool|deep|documentary|dream|groovy|melodic|relaxing|sexy|soft|summer|travel
Piano Magic Motive.mp3,4.078732491,2.603564024,calm|children|christmas|drama|dream|emotional|film|holiday|hopeful|melancholic|nature|relaxing|romantic|sad|soft
Pickled Pink.mp3,7.329630375,5.74750948,advertising|background|children|christmas|commercial|cool|corporate|documentary|fun|funny|groovy|happy|holiday|inspiring|nature|party|positive|summer|travel|upbeat|uplifting
Release the Hybrids.mp3,4.381392479,4.381722927,action|commercial|dark|documentary|dramatic|energetic|film|fun|game|movie
River Meditation.mp3,6.541579247,4.628495216,background|ballad|calm|children|cool|documentary|groovy|happy|hopeful|melodic|nature|positive|relaxing|romantic|soft|summer|travel
Satin Danger.mp3,4.064450741,2.038202286,background|calm|happy|meditative|nature|relaxing|sad|slow|soft|soundscape|space
Screen Saver.mp3,3.355690718,2.963365793,calm|dark|relaxing|soundscape|space
Slice of Life.mp3,5.922429085,5.026313305,adventure|children|christmas|commercial|corporate|documentary|drama|film|funny|happy|holiday|movie|nature|relaxing|romantic|soft
Spring Chicken.mp3,7.189637661,6.191812992,adventure|advertising|children|christmas|commercial|corporate|documentary|drama|fast|film|fun|funny|happy|holiday|movie|nature|travel|upbeat
Strength of the Titans.mp3,3.829736233,3.75728178,action|adventure|dark|documentary|drama|dramatic|emotional|epic|film|movie|trailer
Stunted Adventure.mp3,5.735375881,4.335131645,adventure|advertising|children|christmas|commercial|corporate|documentary|drama|fun|funny|happy|holiday|nature|travel
Sun Up Gunned Down.mp3,5.482750893,4.470766544,advertising|children|christmas|commercial|corporate|documentary|funny|happy|holiday|movie|nature|positive|romantic|travel
The Drama.mp3,4.480761051,3.779093504,action|advertising|background|calm|documentary|drama|dramatic|dream|emotional|epic|film|inspiring|nature|relaxing|romantic|soft|soundscape|trailer
The Ice Giants.mp3,4.371068954,4.276848316,action|adventure|documentary|drama|dramatic|epic|film|game|movie|romantic|trailer
The Land of the Dead.mp3,2.730170488,3.436622381,background|dark|deep|documentary|dream|meditative|nature|relaxing|soundscape|space
Think About It.mp3,2.982910156,2.908923149,background|dark|documentary|dream|film|soundscape|space
Village Tarantella.mp3,6.950610638,5.676990986,adventure|advertising|background|children|commercial|corporate|documentary|energetic|fast|fun|funny|game|groovy|happy|positive|retro|upbeat
Wakka Wakka.mp3,6.184407234,6.21691227,adventure|advertising|commercial|cool|corporate|energetic|fast|fun|funny|groovy|happy|party|positive|powerful|retro|sport|upbeat|uplifting
Windy Old Weather.mp3,5.493438721,4.68509531,christmas|commercial|fun|funny|game|happy|holiday|inspiring|party
Wizard Circus.mp3,6.363077641,5.91597271,action|adventure|cool|corporate|documentary|drama|film|melodic|romantic
